,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,hour,day_of_week,is_weekend,is_rush_hour,TEMPERATURE,IS_DAY,RAIN,SNOWFALL,SHOWERS,WEATHER_CODE,WIND_SPEED_10M,WIND_GUSTS_10M,TEMP_WIND,WEATHER_STRESS
97,2016-02-04 20:36:00,2016-02-04 20:55:00,Business,Cary,Cary,7.7,Meeting,20,3,False,False,44.0,0.0,1.5,0.0,0.0,61.0,12.7,29.5,558.8,148.7
98,2016-11-19 16:01:00,2016-11-19 16:06:00,Business,Cary,Cary,1.5,NO_DATA,16,5,False,True,48.3,1.0,0.0,0.0,0.0,3.0,26.0,64.1,1255.8,141.39999999999998
99,2016-11-19 16:27:00,2016-11-19 16:41:00,Business,Cary,Cary,1.8,NO_DATA,16,5,False,True,48.3,1.0,0.0,0.0,0.0,3.0,26.0,64.1,1255.8,141.39999999999998
100,2016-11-20 10:27:00,2016-11-20 11:32:00,Business,Cary,Cary,39.2,Between Offices,10,6,True,False,32.1,1.0,0.0,0.0,0.0,0.0,16.6,42.8,532.86,91.5
101,2016-11-20 11:58:00,2016-11-20 12:28:00,Business,Cary,Cary,6.4,Customer Visit,11,6,True,False,33.8,1.0,0.0,0.0,0.0,0.0,17.8,44.6,601.64,96.19999999999999
102,2016-11-20 14:58:00,2016-11-20 15:07:00,Business,Cary,Cary,2.7,Meeting,14,6,True,False,38.6,1.0,0.0,0.0,0.0,0.0,19.3,45.4,744.98,103.30000000000001
103,2016-11-20 17:45:00,2016-11-20 18:37:00,Business,Cary,Cary,18.5,Errand/Supplies,17,6,True,True,38.0,1.0,0.0,0.0,0.0,0.0,11.0,35.3,418.0,84.3
104,2016-11-21 13:37:00,2016-11-21 13:49:00,Business,Cary,Cary,2.5,Meal/Entertain,13,0,False,False,39.4,1.0,0.0,0.0,0.0,0.0,15.3,36.7,602.82,91.4
105,2016-11-21 14:34:00,2016-11-21 14:44:00,Business,Cary,Cary,2.1,Meal/Entertain,14,0,False,False,41.7,1.0,0.0,0.0,0.0,0.0,14.8,36.7,617.1600000000001,93.2
106,2016-11-22 15:12:00,2016-11-22 15:27:00,Business,Cary,Cary,5.5,Meeting,15,1,False,False,45.6,1.0,0.0,0.0,0.0,3.0,6.6,20.5,300.96,75.7
107,2016-11-22 15:31:00,2016-11-22 15:44:00,Business,Cary,Cary,4.1,Meeting,15,1,False,False,45.6,1.0,0.0,0.0,0.0,3.0,6.6,20.5,300.96,75.7
108,2016-11-22 15:51:00,2016-11-22 16:43:00,Business,Cary,Cary,12.7,Customer Visit,15,1,False,False,45.6,1.0,0.0,0.0,0.0,3.0,6.6,20.5,300.96,75.7
